年齢,性別,生存数,生存率,死亡率,定常人口
0,M,100 000,0.99816,0.00184,99 860
1,M,99 816,0.99976,0.00024,99 801
2,M,99 792,0.99983,0.00017,99 784
3,M,99 775,0.99989,0.00011,99 769
4,M,99 764,0.99992,0.00008,99 760
5,M,99 756,0.99994,0.00006,99 753
6,M,99 750,0.99994,0.00006,99 747
7,M,99 744,0.99995,0.00005,99 741
8,M,99 739,0.99995,0.00005,99 736
9,M,99 733,0.99995,0.00005,99 731
10,M,99 728,0.99994,0.00006,99 725
11,M,99 722,0.99993,0.00007,99 719
12,M,99 715,0.99991,0.00009,99 711
13,M,99 706,0.99989,0.00011,99 701
14,M,99 696,0.99986,0.00014,99 689
15,M,99 682,0.99982,0.00018,99 674
16,M,99 664,0.99978,0.00022,99 654
17,M,99 642,0.99972,0.00028,99 629
18,M,99 615,0.99967,0.00033,99 599
19,M,99 582,0.99962,0.00038,99 564
20,M,99 544,0.99956,0.00044,99 523
21,M,99 501,0.99951,0.00049,99 477
22,M,99 452,0.99948,0.00052,99 426
23,M,99 400,0.99948,0.00052,99 374
24,M,99 348,0.99949,0.00051,99 322
25,M,99 297,0.99951,0.00049,99 273
26,M,99 248,0.99951,0.00049,99 224
27,M,99 200,0.99951,0.00049,99 176
28,M,99 152,0.99951,0.00049,99 128
29,M,99 103,0.9995,0.0005,99 079
30,M,99 054,0.99948,0.00052,99 028
31,M,99 003,0.99945,0.00055,98 976
32,M,98 948,0.9994,0.0006,98 919
33,M,98 889,0.99936,0.00064,98 857
34,M,98 825,0.99932,0.00068,98 792
35,M,98 759,0.9993,0.0007,98 724
36,M,98 690,0.99929,0.00071,98 654
37,M,98 619,0.99927,0.00073,98 583
38,M,98 547,0.99923,0.00077,98 509
39,M,98 471,0.99916,0.00084,98 430
40,M,98 388,0.99907,0.00093,98 343
41,M,98 297,0.99898,0.00102,98 248
42,M,98 196,0.99888,0.00112,98 142
43,M,98 086,0.99877,0.00123,98 027
44,M,97 965,0.99865,0.00135,97 900
45,M,97 833,0.99851,0.00149,97 761
46,M,97 687,0.99836,0.00164,97 609
47,M,97 528,0.99821,0.00179,97 442
48,M,97 353,0.99802,0.00198,97 258
49,M,97 161,0.99781,0.00219,97 056
50,M,96 948,0.99757,0.00243,96 832
51,M,96 712,0.99731,0.00269,96 584
52,M,96 452,0.99705,0.00295,96 311
53,M,96 167,0.99676,0.00324,96 014
54,M,95 856,0.99644,0.00356,95 688
55,M,95 515,0.99608,0.00392,95 330
56,M,95 140,0.99568,0.00432,94 937
57,M,94 729,0.99527,0.00473,94 508
58,M,94 280,0.99483,0.00517,94 040
59,M,93 793,0.99434,0.00566,93 532
60,M,93 263,0.99376,0.00624,92 977
61,M,92 681,0.99309,0.00691,92 366
62,M,92 041,0.99235,0.00765,91 694
63,M,91 337,0.99159,0.00841,90 959
64,M,90 569,0.99078,0.00922,90 157
65,M,89 734,0.9899,0.0101,89 288
66,M,88 829,0.98885,0.01115,88 341
67,M,87 838,0.98759,0.01241,87 302
68,M,86 748,0.98622,0.01378,86 159
69,M,85 553,0.98482,0.01518,84 912
70,M,84 254,0.98322,0.01678,83 557
71,M,82 840,0.98157,0.01843,82 086
72,M,81 314,0.97988,0.02012,80 505
73,M,79 678,0.97795,0.02205,78 810
74,M,77 921,0.97577,0.02423,76 989
75,M,76 033,0.97328,0.02672,75 030
76,M,74 002,0.97054,0.02946,72 924
77,M,71 822,0.96749,0.03251,70 667
78,M,69 487,0.96428,0.03572,68 258
79,M,67 005,0.96061,0.03939,65 699
80,M,64 365,0.95616,0.04384,62 970
81,M,61 544,0.95092,0.04908,60 050
82,M,58 523,0.9448,0.0552,56 925
83,M,55 293,0.93774,0.06226,53 589
84,M,51 850,0.92968,0.07032,50 043
85,M,48 204,0.92063,0.07937,46 305
86,M,44 378,0.91035,0.08965,42 400
87,M,40 399,0.89882,0.10118,38 362
88,M,36 312,0.88619,0.11381,34 246
89,M,32 179,0.87266,0.12734,30 124
90,M,28 082,0.85808,0.14192,26 077
91,M,24 096,0.84201,0.15799,22 175
92,M,20 289,0.82414,0.17586,18 483
93,M,16 721,0.80434,0.19566,15 058
94,M,13 450,0.78374,0.21626,11 963
95,M,10 541,0.76339,0.23661,9 258
96,M,8 047,0.74472,0.25528,6 983
97,M,5 993,0.72571,0.27429,5 138
98,M,4 349,0.70637,0.29363,3 682
99,M,3 072,0.68671,0.31329,2 567
100,M,2 110,0.66676,0.33324,1 739
0,F,100 000,0.99828,0.00172,99 868
1,F,99 828,0.99983,0.00017,99 817
2,F,99 811,0.99988,0.00012,99 806
3,F,99 800,0.99991,0.00009,99 795
4,F,99 791,0.99993,0.00007,99 787
5,F,99 784,0.99993,0.00007,99 781
6,F,99 777,0.99993,0.00007,99 774
7,F,99 771,0.99994,0.00006,99 768
8,F,99 765,0.99994,0.00006,99 762
9,F,99 759,0.99995,0.00005,99 756
10,F,99 753,0.99995,0.00005,99 751
11,F,99 748,0.99994,0.00006,99 745
12,F,99 742,0.99993,0.00007,99 739
13,F,99 735,0.99992,0.00008,99 731
14,F,99 727,0.99991,0.00009,99 723
15,F,99 719,0.99989,0.00011,99 713
16,F,99 707,0.99986,0.00014,99 700
17,F,99 693,0.99983,0.00017,99 685
18,F,99 676,0.99981,0.00019,99 667
19,F,99 657,0.9998,0.0002,99 647
20,F,99 637,0.99978,0.00022,99 626
21,F,99 615,0.99977,0.00023,99 604
22,F,99 593,0.99976,0.00024,99 581
23,F,99 569,0.99975,0.00025,99 556
24,F,99 544,0.99975,0.00025,99 531
25,F,99 519,0.99975,0.00025,99 507
26,F,99 494,0.99975,0.00025,99 481
27,F,99 469,0.99974,0.00026,99 456
28,F,99 443,0.99974,0.00026,99 430
29,F,99 417,0.99973,0.00027,99 403
30,F,99 390,0.99973,0.00027,99 376
31,F,99 363,0.99973,0.00027,99 349
32,F,99 336,0.99972,0.00028,99 322
33,F,99 307,0.99969,0.00031,99 292
34,F,99 277,0.99965,0.00035,99 260
35,F,99 242,0.99961,0.00039,99 223
36,F,99 204,0.99957,0.00043,99 183
37,F,99 161,0.99954,0.00046,99 138
38,F,99 115,0.9995,0.0005,99 091
39,F,99 066,0.99946,0.00054,99 039
40,F,99 012,0.99942,0.00058,98 984
41,F,98 954,0.99937,0.00063,98 924
42,F,98 892,0.99932,0.00068,98 859
43,F,98 826,0.99926,0.00074,98 790
44,F,98 752,0.99918,0.00082,98 713
45,F,98 672,0.99909,0.00091,98 628
46,F,98 582,0.99901,0.00099,98 534
47,F,98 484,0.99892,0.00108,98 432
48,F,98 378,0.99881,0.00119,98 320
49,F,98 261,0.99869,0.00131,98 198
50,F,98 132,0.99855,0.00145,98 063
51,F,97 990,0.99842,0.00158,97 914
52,F,97 835,0.99829,0.00171,97 753
53,F,97 668,0.99819,0.00181,97 581
54,F,97 492,0.99808,0.00192,97 399
55,F,97 304,0.99796,0.00204,97 206
56,F,97 106,0.99782,0.00218,97 001
57,F,96 894,0.99767,0.00233,96 783
58,F,96 669,0.99753,0.00247,96 551
59,F,96 430,0.99737,0.00263,96 305
60,F,96 177,0.99719,0.00281,96 043
61,F,95 906,0.99695,0.00305,95 762
62,F,95 613,0.99667,0.00333,95 456
63,F,95 295,0.99639,0.00361,95 125
64,F,94 951,0.9961,0.0039,94 768
65,F,94 580,0.99578,0.00422,94 383
66,F,94 181,0.99539,0.00461,93 967
67,F,93 747,0.99493,0.00507,93 513
68,F,93 272,0.99442,0.00558,93 016
69,F,92 751,0.99387,0.00613,92 471
70,F,92 183,0.99319,0.00681,91 874
71,F,91 555,0.99246,0.00754,91 215
72,F,90 865,0.9917,0.0083,90 494
73,F,90 111,0.99083,0.00917,89 704
74,F,89 285,0.98986,0.01014,88 839
75,F,88 380,0.98873,0.01127,87 890
76,F,87 383,0.98736,0.01264,86 841
77,F,86 278,0.98567,0.01433,85 672
78,F,85 042,0.98374,0.01626,84 363
79,F,83 659,0.98147,0.01853,82 898
80,F,82 108,0.97883,0.02117,81 256
81,F,80 370,0.97577,0.02423,79 415
82,F,78 423,0.97217,0.02783,77 352
83,F,76 240,0.96789,0.03211,75 040
84,F,73 792,0.96287,0.03713,72 447
85,F,71 052,0.95711,0.04289,69 555
86,F,68 005,0.95046,0.04954,66 348
87,F,64 636,0.94274,0.05726,62 814
88,F,60 935,0.93375,0.06625,58 944
89,F,56 898,0.92364,0.07636,54 749
90,F,52 553,0.9123,0.0877,50 269
